SampleKey,rep,fold,view,y_true,y_true_name,y_pred,y_pred_name,correct,rank,cell_idx_in_bag,cell_id,attn_w
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,78,94,20241026S1_Cell7_B,0.0030420080292969
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,79,36,20241026S1_Cell20_A,0.0030271008145064
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,80,78,20241026S1_Cell37_C,0.0026545266155153
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,81,57,20241026S1_Cell27_A,0.0025701473932713
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,82,75,20241026S1_Cell34_C,0.0025689986068755
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,83,71,20241026S1_Cell30_C,0.0024549127556383
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,84,45,20241026S1_Cell23_A,0.00206567812711
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,85,62,20241026S1_Cell28_C,0.0017492895713075
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,86,64,20241026S1_Cell29_B,0.0017123153666034
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,87,39,20241026S1_Cell21_A,0.001630344777368
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,88,85,20241026S1_Cell41_C,0.0016049391124397
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,89,4,20241026S1_Cell10_B,0.0013706315075978
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,90,20,20241026S1_Cell15_C,0.0011958633549511
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,91,100,20241026S1_Cell9_B,0.0011689091334119
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,92,2,20241026S1_Cell1_C,0.0011449170997366
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,93,68,20241026S1_Cell3_C,0.0009858495322987
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,94,77,20241026S1_Cell36_C,0.000775760912802
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,95,35,20241026S1_Cell2_C,0.0006973730050958
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,96,47,20241026S1_Cell23_C,0.0006868241471238
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,97,76,20241026S1_Cell35_C,0.000596833822783
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,98,74,20241026S1_Cell33_C,0.000594155921135
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,99,21,20241026S1_Cell16_A,0.0005421634996309
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,100,84,20241026S1_Cell40_C,0.0001581629476277
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,101,97,20241026S1_Cell8_B,0.0001561586977913
2024Dec_Bile-S1,3,1,all,0,Liver,0,Liver,1,102,7,20241026S1_Cell11_B,0.0001547065621707
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,1,13,20241026S1_Cell13_B,0.0422080494463443
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,2,9,20241026S1_Cell12_A,0.0308119095861911
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,3,96,20241026S1_Cell8_A,0.0272753555327653
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,4,63,20241026S1_Cell29_A,0.026580449193716
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,5,10,20241026S1_Cell12_B,0.0253478065133094
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,6,52,20241026S1_Cell25_B,0.0234719812870025
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,7,51,20241026S1_Cell25_A,0.0228273756802082
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,8,93,20241026S1_Cell7_A,0.022032419219613
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,9,33,20241026S1_Cell2_A,0.0215894151479005
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,10,99,20241026S1_Cell9_A,0.0206614676862955
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,11,46,20241026S1_Cell23_B,0.0203559231013059
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,12,64,20241026S1_Cell29_B,0.0198333095759153
