rep,fold,view,SampleKey,cell_id,attn_weight,attn_rank,n_cells,y_true,y_true_name,y_pred,y_pred_name,correct,p_Liver,p_Bile,p_Pancreas
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell27_C,0.01748314268188551,18,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell20_B,0.017231311835348605,19,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell26_C,0.016793625010177494,20,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell31_C,0.015888072864618154,21,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell23_C,0.015778338653035462,22,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell11_A,0.015579584054648876,23,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell28_A,0.015100833587348459,24,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell28_C,0.014747597643872725,25,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell15_B,0.013055651169270278,26,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell34_C,0.01304695631260984,27,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell21_B,0.012602374306879938,28,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell41_C,0.012446779245510697,29,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell27_B,0.012241071835160256,30,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell3_B,0.012216375430580231,31,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell6_B,0.012074062612373383,32,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell12_C,0.011882747523486614,33,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell20_A,0.011877895751968027,34,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell9_C,0.011399853881448508,35,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell2_A,0.010922751668840647,36,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell4_A,0.010819505201652646,37,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell23_B,0.01022318273317069,38,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell8_A,0.010020342143252493,39,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell8_B,0.00985437931958586,40,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell25_C,0.00971299959346652,41,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell14_B,0.009651750093325973,42,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell13_A,0.009370485926046966,43,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell18_A,0.009195778775028885,44,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell6_C,0.00884187538176775,45,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell1_A,0.008841076493263246,46,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell33_C,0.008775053266435863,47,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell9_B,0.008699512761086227,48,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell12_A,0.008655249793082477,49,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell29_C,0.008336095605045557,50,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell37_C,0.00815752437338233,51,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell7_A,0.008117998600937426,52,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell21_C,0.007941438257694245,53,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell30_A,0.007757305819541216,54,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell30_B,0.007750728796236217,55,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
